"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Odell Beckham Jr.",9100,"Was@NYG 01:00PM ET",13.950,"NYG"
"WR","A.J. Green",8100,"Den@Cin 01:00PM ET",22.400,"Cin"
"QB","Cam Newton",7800,"Min@Car 01:00PM ET",28.490,"Car"
"RB","David Johnson",7700,"Ari@Buf 01:00PM ET",20.250,"Ari"
"WR","Amari Cooper",7700,"Oak@Ten 01:00PM ET",18.400,"Oak"
"QB","Aaron Rodgers",7700,"Det@GB 01:00PM ET",21.490,"GB"
"WR","Allen Robinson",7500,"Bal@Jax 01:00PM ET",10.800,"Jax"
"WR","Jordy Nelson",7400,"Det@GB 01:00PM ET",16.750,"GB"
"WR","Randall Cobb",7300,"Det@GB 01:00PM ET",11.050,"GB"
"RB","C.J. Anderson",7300,"Den@Cin 01:00PM ET",24.100,"Den"
"QB","Carson Palmer",7200,"Ari@Buf 01:00PM ET",23.050,"Ari"
"WR","Kelvin Benjamin",7200,"Min@Car 01:00PM ET",26.950,"Car"
"QB","Eli Manning",7000,"Was@NYG 01:00PM ET",17.800,"NYG"
"WR","Larry Fitzgerald",6900,"Ari@Buf 01:00PM ET",23.600,"Ari"
"QB","Derek Carr",6900,"Oak@Ten 01:00PM ET",25.160,"Oak"
"QB","Matthew Stafford",6800,"Det@GB 01:00PM ET",22.800,"Det"
"RB","Adrian Peterson",6700,"Min@Car 01:00PM ET",3.850,"Min"
"WR","Jarvis Landry",6600,"Cle@Mia 01:00PM ET",19.200,"Mia"
"RB","LeSean McCoy",6500,"Ari@Buf 01:00PM ET",15.000,"Buf"
"TE","Jordan Reed",6500,"Was@NYG 01:00PM ET",12.700,"Was"
"QB","Blake Bortles",6500,"Bal@Jax 01:00PM ET",21.780,"Jax"
"QB","Kirk Cousins",6400,"Was@NYG 01:00PM ET",18.760,"Was"
"WR","Demaryius Thomas",6400,"Den@Cin 01:00PM ET",12.400,"Den"
"RB","DeMarco Murray",6300,"Oak@Ten 01:00PM ET",22.600,"Ten"
"QB","Ryan Tannehill",6200,"Cle@Mia 01:00PM ET",21.560,"Mia"
"WR","Marvin Jones Jr.",6200,"Det@GB 01:00PM ET",17.650,"Det"
"WR","Sammy Watkins",6100,"Ari@Buf 01:00PM ET",6.150,"Buf"
"QB","Joe Flacco",6100,"Bal@Jax 01:00PM ET",17.100,"Bal"
"RB","Eddie Lacy",6100,"Det@GB 01:00PM ET",6.900,"GB"
"WR","Michael Crabtree",6000,"Oak@Ten 01:00PM ET",15.400,"Oak"
"WR","Emmanuel Sanders",6000,"Den@Cin 01:00PM ET",8.400,"Den"
"QB","Marcus Mariota",5900,"Oak@Ten 01:00PM ET",18.180,"Ten"
"WR","DeSean Jackson",5900,"Was@NYG 01:00PM ET",13.100,"Was"
"WR","Golden Tate",5900,"Det@GB 01:00PM ET",7.300,"Det"
"QB","Tyrod Taylor",5800,"Ari@Buf 01:00PM ET",15.460,"Buf"
"WR","Michael Floyd",5800,"Ari@Buf 01:00PM ET",8.950,"Ari"
"TE","Greg Olsen",5800,"Min@Car 01:00PM ET",20.250,"Car"
"RB","Latavius Murray",5700,"Oak@Ten 01:00PM ET",18.150,"Oak"
"QB","Andy Dalton",5700,"Den@Cin 01:00PM ET",21.840,"Cin"
"QB","Josh McCown",5600,"Cle@Mia 01:00PM ET",16.400,"Cle"
"RB","T.J. Yeldon",5600,"Bal@Jax 01:00PM ET",14.350,"Jax"
"WR","Sterling Shepard",5500,"Was@NYG 01:00PM ET",18.000,"NYG"
"RB","Arian Foster",5500,"Cle@Mia 01:00PM ET",6.950,"Mia"
"WR","Corey Coleman",5300,"Cle@Mia 01:00PM ET",19.650,"Cle"
"QB","Sam Bradford",5300,"Min@Car 01:00PM ET",19.140,"Min"
"WR","Allen Hurns",5200,"Bal@Jax 01:00PM ET",11.450,"Jax"
"RB","Rashad Jennings",5100,"Was@NYG 01:00PM ET",7.400,"NYG"
"QB","Trevor Siemian",5100,"Den@Cin 01:00PM ET",11.730,"Den"
"WR","Stefon Diggs",5100,"Min@Car 01:00PM ET",28.200,"Min"
"QB","Drew Stanton",5000,"Ari@Buf 01:00PM ET",0.440,"Ari"
"QB","EJ Manuel",5000,"Ari@Buf 01:00PM ET",0.600,"Buf"
"QB","Cardale Jones",5000,"Ari@Buf 01:00PM ET",0,"Buf"
"QB","Matt Cassel",5000,"Oak@Ten 01:00PM ET",-0.100,"Ten"
"QB","Matt McGloin",5000,"Oak@Ten 01:00PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Oak@Ten 01:00PM ET",0,"Oak"
"TE","Delanie Walker",5000,"Oak@Ten 01:00PM ET",13.750,"Ten"
"QB","Josh Johnson",5000,"Was@NYG 01:00PM ET",0,"NYG"
"QB","Colt McCoy",5000,"Was@NYG 01:00PM ET",0,"Was"
"QB","Ryan Nassib",5000,"Was@NYG 01:00PM ET",0,"NYG"
"QB","Nate Sudfeld",5000,"Was@NYG 01:00PM ET",0,"Was"
"QB","Matt Moore",5000,"Cle@Mia 01:00PM ET",0,"Mia"
"QB","Cody Kessler",5000,"Cle@Mia 01:00PM ET",0,"Cle"
"QB","Chad Henne",5000,"Bal@Jax 01:00PM ET",0,"Jax"
"QB","Ryan Mallett",5000,"Bal@Jax 01:00PM ET",0,"Bal"
"QB","Brandon Allen",5000,"Bal@Jax 01:00PM ET",0,"Jax"
"WR","Mike Wallace",5000,"Bal@Jax 01:00PM ET",19.650,"Bal"
"QB","Dan Orlovsky",5000,"Det@GB 01:00PM ET",0,"Det"
"QB","Brett Hundley",5000,"Det@GB 01:00PM ET",0,"GB"
"QB","Joe Callahan",5000,"Det@GB 01:00PM ET",0,"GB"
"QB","Austin Davis",5000,"Den@Cin 01:00PM ET",0,"Den"
"QB","AJ McCarron",5000,"Den@Cin 01:00PM ET",0,"Cin"
"QB","Jeff Driskel",5000,"Den@Cin 01:00PM ET",0,"Cin"
"QB","Paxton Lynch",5000,"Den@Cin 01:00PM ET",0,"Den"
"QB","Derek Anderson",5000,"Min@Car 01:00PM ET",0,"Car"
"QB","Shaun Hill",5000,"Min@Car 01:00PM ET",10.240,"Min"
"QB","Joe Webb",5000,"Min@Car 01:00PM ET",0.000,"Car"
"WR","DeVante Parker",4900,"Cle@Mia 01:00PM ET",21.600,"Mia"
"RB","Theo Riddick",4900,"Det@GB 01:00PM ET",19.150,"Det"
"WR","John Brown",4800,"Ari@Buf 01:00PM ET",2.100,"Ari"
"RB","Jonathan Stewart",4800,"Min@Car 01:00PM ET",5.000,"Car"
"WR","Tajae Sharpe",4700,"Oak@Ten 01:00PM ET",10.950,"Ten"
"WR","Victor Cruz",4700,"Was@NYG 01:00PM ET",12.750,"NYG"
"RB","Isaiah Crowell",4700,"Cle@Mia 01:00PM ET",20.300,"Cle"
"TE","Julius Thomas",4600,"Bal@Jax 01:00PM ET",14.250,"Jax"
